書名,作者,語言,折扣,價格,連結
Python：最強入門ChatGPT助攻邁向數據科學之路 - 王者歸來(全彩印刷第四版),洪錦魁,中文書,79,948,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010956829/page/1/idx/28/cat/001/pdf/1/spell/3
AI時代Math元年：用Python全精通程式設計,姜偉生,中文書,9,1152,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011005690/page/1/idx/29/cat/001/pdf/1/spell/3
零基礎入門的Python自動化投資：10年操盤手團隊量化通，教你從零開始學程式交易，讓你輕鬆選股、判斷買賣時機，精準獲利,量化通,中文書,79,355,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010925009/page/1/idx/30/cat/001/pdf/1/spell/3
給中小學生的Python：初學程式設計也能快速上手(3版),傑森‧布里格斯  李強  Miran Lipovača,中文書,9,405,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011006699/page/1/idx/31/cat/001/pdf/1/spell/3
資料可視化王者：用Python讓AI活躍在圖表世界中,姜偉生,中文書,9,1422,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011007763/page/1/idx/32/cat/001/pdf/1/spell/3
Python + ChatGPT 零基礎+高效率學程式設計與運算思維(第四版),洪錦魁,中文書,79,624,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010978291/page/1/idx/33/cat/001/pdf/1/spell/3
Python 程式設計基石：基礎概念與實戰應用全攻略,袁儀齡  袁葆宏,中文書,75,510,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011009632/page/1/idx/34/cat/001/pdf/1/spell/3
用Python學AI理論與程式實作(涵蓋Certiport ITS AI國際認證模擬試題),李啟龍  陳威達,中文書,9,522,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010983469/page/1/idx/35/cat/001/pdf/1/spell/3
Python 教學手冊,洪維恩,中文書,95,618,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010922575/page/1/idx/36/cat/001/pdf/1/spell/3
Python資料分析 第三版,Wes McKinney  賴屹民,中文書,9,882,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010968510/page/1/idx/37/cat/001/pdf/1/spell/3
