書名,作者,語言,折扣,價格,連結
Python不廢話，一行程式碼：像高手般寫出簡潔有力的Python程式碼,Christian Mayer  藍子軒,中文書,9,405,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010906649/page/3/idx/6/cat/001/pdf/1/spell/3
圖說演算法-使用Python(第二版),吳燦銘  胡昭民,中文書,9,450,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010900425/page/3/idx/7/cat/001/pdf/1/spell/3
Python資料視覺化從2D到3D使用matplotlib實作 - 王者歸來(全彩印刷),洪錦魁,中文書,79,624,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010958448/page/3/idx/8/cat/001/pdf/1/spell/3
Python 3.x 程式語言特訓教材(第二版),蔡明志  財團法人中華民國電腦技能基金會,中文書,9,441,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010808309/page/3/idx/9/cat/001/pdf/1/spell/3
Python 教學手冊 第二版,洪維恩,中文書,95,646,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011022842/page/3/idx/10/cat/001/pdf/0/spell/3
運算思維程式講堂：打好 Python x ChatGPT 基礎必修課,胡昭民,中文書,,399,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010957957/page/3/idx/11/cat/001/pdf/1/spell/3
專門為中學生寫的程式語言設計：強化邏輯思考力,侯冠維  劉國有  李家同  謝一功  陳庭偉,中文書,79,300,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010796277/page/3/idx/12/cat/001/pdf/1/spell/3
用Python學程式設計運算思維(第二版)(涵蓋ITS Python國際認證模擬試題),李啟龍,中文書,9,378,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010925527/page/3/idx/13/cat/001/pdf/1/spell/3
最新Python基礎必修課(第二版)：ITS認證 + ChatGPT協作開發,何嘉益  張力元  張志成  歐志信  蔡文龍,中文書,9,432,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011022506/page/3/idx/14/cat/001/pdf/0/spell/3
新手村逃脫!初心者的 Python 機器學習攻略(iT邦幫忙鐵人賽系列書),郭耀仁,中文書,,199,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010867390/page/3/idx/15/cat/001/pdf/1/spell/3
Python面試題目與解答：邁向高薪之路,洪錦魁,中文書,79,545,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010860134/page/3/idx/16/cat/001/pdf/1/spell/3
最好懂的機器學習書：使用Python了解原理、演算法及實戰案例,劉艷  李沫沫  韓龍哲,中文書,9,702,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010951290/page/3/idx/17/cat/001/pdf/1/spell/3
Python - 最強入門ChatGPT助攻AI數據科學 - 王者歸來(五版),洪錦魁,中文書,9,1080,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011021849/page/3/idx/18/cat/001/pdf/0/spell/3
因果推論的商業應用：用Python解鎖科技產業的精準行銷,Matheus Facure  楊新章,中文書,9,792,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011021551/page/3/idx/19/cat/001/pdf/0/spell/3
Python實戰聖經：用簡單強大的模組套件完成最強應用(附影音/範例程式),文淵閣工作室  鄧文淵,中文書,9,522,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010906039/page/3/idx/20/cat/001/pdf/1/spell/3
邊玩邊學程式設計：30堂Python創意程式課，輕鬆掌握程式語言，培養運算思維!,希娜‧瓦帝耶納坦  屠建明,中文書,7,279,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010834440/page/3/idx/21/cat/001/pdf/1/spell/3
Python+Office辦公自動化實戰,王國平,中文書,,349,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010945655/page/3/idx/22/cat/001/pdf/1/spell/3
Python程式設計與程式競賽解題技巧,Daniel Zingaro  H&C,中文書,9,405,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010903455/page/3/idx/23/cat/001/pdf/1/spell/3
培養與鍛鍊程式設計的邏輯腦：程式設計大賽的128個進階技巧(使用Python),Christoph Dürr  Jill-Jênn Vie  史世強,中文書,75,465,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010820913/page/3/idx/24/cat/001/pdf/1/spell/3
DevOps七步大法：Docker硬功夫實戰容器,李傳龍  王嘉濤  盧桂周,中文書,9,792,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010970129/page/3/idx/25/cat/001/pdf/1/spell/3
FLAG’S 創客.自造者工作坊 Python×AI 生醫感測健康大應用,施威銘研究室,中文書,95,1519,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010941114/page/3/idx/26/cat/001/pdf/1/spell/3
Python功力提升的樂趣：寫出乾淨程式碼的最佳實務,Al Sweigart  H&C,中文書,,349,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010887575/page/3/idx/27/cat/001/pdf/1/spell/3
Python與LINE Bot機器人全面實戰特訓班：Flask最強應用(附210分鐘影音教學/範例程式),文淵閣工作室,中文書,9,495,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010883495/page/3/idx/28/cat/001/pdf/1/spell/3
選擇權商品模型化導論：使用Python語言,林進益,中文書,95,551,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010984903/page/3/idx/29/cat/001/pdf/1/spell/3
AutoML 自動化機器學習：用 AutoKeras 超輕鬆打造高效能 AI 模型,Luis Sobrecueva  許珮瑩,中文書,95,656,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010911296/page/3/idx/30/cat/001/pdf/1/spell/3
Python程式設計入門教室,森巧尚  錢亞宏,中文書,,149,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010817687/page/3/idx/31/cat/001/pdf/1/spell/3
完全圖解Python程式設計,Carol Vorderman  黃詩涵,中文書,9,405,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010814353/page/3/idx/32/cat/001/pdf/1/spell/3
機器學習(Lasso推論模型)：使用Stata、Python分析,張紹勳,中文書,75,592,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010899154/page/3/idx/33/cat/001/pdf/1/spell/3
圖說運算思維與演算邏輯：使用Python+ChatGPT，訓練系統化思考與問題解析方法,榮欽科技,中文書,,399,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010975674/page/3/idx/34/cat/001/pdf/1/spell/3
Python 從網路爬蟲到生活應用超實務：人工智慧世代必備的資料擷取術,陳會安,中文書,75,465,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010877656/page/3/idx/35/cat/001/pdf/1/spell/3
架構模式：使用Python,Bob Gregory  Harry Percival  賴屹民,中文書,9,612,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010867276/page/3/idx/36/cat/001/pdf/1/spell/3
數位多媒體技術與應用-Python 實務,楊政興  王旭正  翁麒耀,中文書,,239,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010934027/page/3/idx/37/cat/001/pdf/1/spell/3
Python邁向領航者之路：超零基礎(全彩印刷),洪錦魁,中文書,79,355,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010856752/page/3/idx/38/cat/001/pdf/1/spell/3
Python程式設計入門與應用：運算思維的提昇與修練(2版),陳新豐,中文書,95,456,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010929267/page/3/idx/39/cat/001/pdf/1/spell/3
Python設計模式與開發實務,James W. Cooper  李龍威,中文書,9,522,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010968741/page/3/idx/40/cat/001/pdf/1/spell/3
Python：網路爬蟲與資料視覺化應用實務,陳允傑,中文書,95,618,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010809154/page/3/idx/41/cat/001/pdf/1/spell/3
Python 3.x 網頁資料擷取與分析特訓教材,曹祥雲,中文書,9,441,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010805507/page/3/idx/42/cat/001/pdf/1/spell/3
無師自通的Python語言程式設計：附大學程式設計先修檢測(APCS)試題解析,邏輯林,中文書,,349,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010914740/page/3/idx/43/cat/001/pdf/1/spell/3
Python也可以這樣學,董付國,中文書,,399,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010769122/page/3/idx/44/cat/001/pdf/1/spell/3
Python好好玩：趣學電玩遊戲程式設計,Al Sweigart  H&C,中文書,9,405,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010765722/page/3/idx/45/cat/001/pdf/1/spell/3
Python人工智慧程式設計入門：使用Microsoft Azure雲端服務,何霆鋒  劉憶蓁  劉耘圻  姜琇森  章家源  羅云涔  蕭國倫,中文書,79,545,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010899002/page/3/idx/46/cat/001/pdf/1/spell/3
APCS大學程式設計先修檢測：Python超效解題致勝祕笈【暢銷回饋版】,吳燦銘,中文書,9,315,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010900078/page/3/idx/47/cat/001/pdf/1/spell/3
Python X ChatGPT雙效合一：快速學會最強AI，寫程式更有效率,榮欽科技,中文書,7,434,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010955635/page/3/idx/48/cat/001/pdf/1/spell/3
Python 函式庫語法範例字典,小坂健二郎  池内孝啓  真嘉比愛  石本敦夫  鈴木たかのり  林子政,中文書,95,428,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010726838/page/3/idx/49/cat/001/pdf/1/spell/3
Python資料可視化攻略,小久保奈都彌  許郁文,中文書,9,432,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010892260/page/3/idx/50/cat/001/pdf/1/spell/3
爬蟲在手 資料我有：7堂課學會高效率Scrapy爬蟲(iT邦幫忙鐵人賽系列書),簡學群,中文書,,149,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010887893/page/3/idx/51/cat/001/pdf/1/spell/3
真槍實彈做專案：PyQt極速開發視窗軟體(第二版),明日科技,中文書,9,792,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010951276/page/3/idx/52/cat/001/pdf/1/spell/3
Python 3.9技術手冊,林信良,中文書,9,504,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010879685/page/3/idx/53/cat/001/pdf/1/spell/3
高效能Python程式設計 第二版,Ian Ozsvald  Micha Gorelick  賴屹民,中文書,9,702,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010879684/page/3/idx/54/cat/001/pdf/1/spell/3
APCS使用Python,數位新知,中文書,95,428,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010950066/page/3/idx/55/cat/001/pdf/1/spell/3
Python純文字冒險遊戲程式設計,彭勝陽,中文書,,269,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010875660/page/3/idx/56/cat/001/pdf/1/spell/3
少年Py的大冒險：成為Python數據分析達人的第一門課(附範例光碟),季佳琪  蔡炎龍  陳先灝,中文書,95,399,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010863769/page/3/idx/57/cat/001/pdf/1/spell/3
Python程式設計的12堂必修課,數位新知,中文書,95,523,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010984925/page/3/idx/58/cat/001/pdf/1/spell/3
誰說不能從武俠學程式?,李開周,中文書,79,339,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010933225/page/3/idx/59/cat/001/pdf/1/spell/3
輕課程 micro:bit 微型電腦帶著走：使用Python輕鬆學 最新版(二版),陳致中 乾龍工作室,中文書,9,270,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010811608/page/3/idx/60/cat/001/pdf/1/spell/3
文科生也能懂的Python程式設計|用Python寫出國中數學解題程式,谷尻かおり  謝敏怡,中文書,9,405,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010907379/page/4/idx/1/cat/001/pdf/1/spell/3
超簡單Python/MicroPython物聯網應用：堆積木寫程式輕鬆學習軟硬體整合,陳會安,中文書,5,325,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010893185/page/4/idx/2/cat/001/pdf/1/spell/3
Python範例學習書|輕鬆、有趣學習Python程式設計,吳進北,中文書,9,351,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010965426/page/4/idx/3/cat/001/pdf/1/spell/3
Python 從初學到生活應用超實務：讓 Python 幫你處理日常生活與工作中繁瑣重複的工作,陳會安,中文書,75,465,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010872935/page/4/idx/4/cat/001/pdf/1/spell/3
Python工匠|案例、技巧與開發實戰,朱雷(@piglei)  22dotsstudio,中文書,,399,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010961249/page/4/idx/5/cat/001/pdf/1/spell/3
從零開始學Python程式設計(第三版修訂版)(適用Python 3.10以上),李馨,中文書,75,540,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010955329/page/4/idx/6/cat/001/pdf/1/spell/3
秋聲教你玩Python：給挑戰者的修行之路,北極星,中文書,,199,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010829790/page/4/idx/7/cat/001/pdf/1/spell/3
A-Life 使用Python實作人工生命模型,ドミニク・チェン  丸山典宏  岡瑞起  池上高志  青木竜太  吳嘉芳,中文書,9,468,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010825024/page/4/idx/8/cat/001/pdf/1/spell/3
Python程式設計與人工智慧入門：使用DJI Tello和Microsoft Azure,連宏城,中文書,9,360,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010817034/page/4/idx/9/cat/001/pdf/1/spell/3
圖說運算思維與演算邏輯訓練：使用Python,榮欽科技,中文書,,149,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010805786/page/4/idx/10/cat/001/pdf/1/spell/3
用最簡潔的Python上手：深度學習從精通再成大神,宋立桓,中文書,9,702,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010948044/page/4/idx/11/cat/001/pdf/1/spell/3
資料視覺化：用Python為星空作畫,蘇羿豪,中文書,9,648,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010997110/page/4/idx/12/cat/001/pdf/1/spell/3
Hello!Python程式設計,蔡志敏,中文書,9,405,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010997463/page/4/idx/13/cat/001/pdf/1/spell/3
圖解資料結構 × 演算法：運用Python,胡昭民,中文書,75,450,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010930740/page/4/idx/14/cat/001/pdf/1/spell/3
好好玩!Python程式設計入門與實例應用-鍛鍊邏輯思維×徹底掌握核心,李馨,中文書,,399,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010920861/page/4/idx/15/cat/001/pdf/1/spell/3
Python 幫幫忙!用程式思維解決現實世界問題,LEE VAUGHAN  張康寶  張清徽,中文書,95,599,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010917055/page/4/idx/16/cat/001/pdf/1/spell/3
資料處理：使用Python語言,林進益,中文書,95,456,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010903392/page/4/idx/17/cat/001/pdf/1/spell/3
網管大殺器：用Python精控企業IT架構,王印,中文書,9,621,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010882623/page/4/idx/18/cat/001/pdf/1/spell/3
使用Python搜刮網路資料的12堂實習課,何敏煌  葉柏漢  顏凰竹,中文書,,239,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010871074/page/4/idx/19/cat/001/pdf/1/spell/3
非監督式學習：使用Python,Ankur A. Patel  盧建成,中文書,9,612,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010852754/page/4/idx/20/cat/001/pdf/1/spell/3
看圖學Python：資料分析與資料視覺化,陳會安,中文書,95,399,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010986950/page/4/idx/21/cat/001/pdf/1/spell/3
Python設計模式,羅偉富,中文書,9,585,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010839605/page/4/idx/22/cat/001/pdf/1/spell/3
從零開始學Python程式設計(第三版修訂版)(適用Python 3.10以上)暢銷回饋版,李馨,中文書,75,540,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010983965/page/4/idx/23/cat/001/pdf/1/spell/3
資訊社會必修的12堂Python通識課,何敏煌,中文書,,199,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010828697/page/4/idx/24/cat/001/pdf/1/spell/3
簡明python學習講義,中央大學出版中心  吳維漢,中文書,79,434,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010811676/page/4/idx/25/cat/001/pdf/1/spell/3
Think Complexity：複雜性科學與計算模型設計(第二版),Allen B. Downey  楊尊一,中文書,9,468,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010804813/page/4/idx/26/cat/001/pdf/1/spell/3
Python程式設計實務：從初學到活用Python開發技巧的16堂課(第二版),何敏煌,中文書,9,504,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010792131/page/4/idx/27/cat/001/pdf/1/spell/3
資料結構：使用Python,數位新知,中文書,95,523,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010979794/page/4/idx/28/cat/001/pdf/1/spell/3
資料視覺化：使用Python與JavaScript,Kyran Dale  林季岩,中文書,9,612,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010749667/page/4/idx/29/cat/001/pdf/1/spell/3
入門首選Python程式設計與ChatGPT應用- 最新版 - 附MOSME行動學習一點通：評量.加值,勁樺科技,中文書,9,360,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010973970/page/4/idx/30/cat/001/pdf/1/spell/3
達人必學Python 3.x 程式設計 - 最新版(第二版) - 附MOSME行動學習一點通：評量.詳解.加值,勁樺科技,中文書,9,522,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010972414/page/4/idx/31/cat/001/pdf/1/spell/3
一本書秒殺電腦視覺最新應用：80個Python大師級實例(第二版),張德豐,中文書,9,792,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010958444/page/4/idx/32/cat/001/pdf/1/spell/3
Python程式設計與實例應用 Kamthane,Kamthane  沈辰  王讚彬  蔡宇翔,中文書,95,675,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010964141/page/4/idx/33/cat/001/pdf/1/spell/3
Python金融市場賺大錢聖經：寫出你的專屬指標(第二版),張峮瑋,中文書,9,702,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010951282/page/4/idx/34/cat/001/pdf/1/spell/3
不靠框架硬功夫：Scikit-learn手刻機器學習每行程式碼,郭雅秋  鄧淇文  鄧立國  陳子堯,中文書,9,702,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010943569/page/4/idx/35/cat/001/pdf/1/spell/3
超簡單Python/MicroPython物聯網應用：堆積木寫程式輕鬆學習軟硬體整合(第二版),陳會安,中文書,66,475,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010942481/page/4/idx/36/cat/001/pdf/1/spell/3
圖說演算法-使用Python(第二版)【暢銷回饋版】,吳燦銘  胡昭民,中文書,,299,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010942165/page/4/idx/37/cat/001/pdf/1/spell/3
APCS 完全攻略：從新手到高手，Python解題必備!,吳燦銘  胡昭民,中文書,9,585,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010934031/page/4/idx/38/cat/001/pdf/1/spell/3
Python精粹|來自專家的經驗精華,David Beazley  黃銘偉,中文書,9,468,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010927948/page/4/idx/39/cat/001/pdf/1/spell/3
強健的Python|撰寫潔淨且可維護的程式碼,Patrick Viafore  黃銘偉,中文書,9,612,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010919051/page/4/idx/40/cat/001/pdf/1/spell/3
一本書秒殺電腦視覺最新應用：80個Python大師級實例,張德豐,中文書,9,792,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010916320/page/4/idx/41/cat/001/pdf/1/spell/3
理解演算法：Python初學者的深度歷險,Bradford Tuckfield  陳仁和,中文書,9,360,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010913215/page/4/idx/42/cat/001/pdf/1/spell/3
Python出神入化：Clean Coder才懂的Pythonic技法，為你的程式碼畫龍點睛!,Mariano Anaya  江玠峰,中文書,75,540,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010909744/page/4/idx/43/cat/001/pdf/1/spell/3
Python 大數據專案 X 工程 X 產品 資料工程師的升級攻略,林子軒,中文書,9,630,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010907880/page/4/idx/44/cat/001/pdf/1/spell/3
初學Python的第一本書 : 從基本語法到模組應用(iT邦幫忙鐵人賽系列書),林志瑜,中文書,9,468,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010898831/page/4/idx/45/cat/001/pdf/1/spell/3
歐式選擇權定價：使用Python語言,林進益,中文書,,349,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010899153/page/4/idx/46/cat/001/pdf/1/spell/3
Kaggle大師教您用Python玩資料科學，比賽拿獎金,村田秀樹  石原祥太郎  許郁文,中文書,,349,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010888450/page/4/idx/47/cat/001/pdf/1/spell/3
區塊鏈生存指南：帶你用Python寫出區塊鏈!(iT邦幫忙鐵人賽系列書),李耕銘,中文書,9,468,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010885571/page/4/idx/48/cat/001/pdf/1/spell/3
Python全面攻略：從程式新人到開發設計的快速學習,資訊種子研究室,中文書,9,522,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010881684/page/4/idx/49/cat/001/pdf/1/spell/3
LINE Bot by Python 全攻略：從Heroku到AWS跨平台實踐(iT邦幫忙鐵人賽系列書),饒孟桓,中文書,75,465,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010879153/page/4/idx/50/cat/001/pdf/1/spell/3
如何學寫程式：Python篇 學會用「數學思維」寫程式,吳維漢,中文書,,399,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010876404/page/4/idx/51/cat/001/pdf/1/spell/3
遊戲式運算思維學Python程式設計(附範例光碟),張隆君,中文書,95,371,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010875673/page/4/idx/52/cat/001/pdf/1/spell/3
Python for DevOps|學習精準有效的自動化,Alfredo Deza  Grig Gheorghiu  Kennedy Behrman  Noah Gift  盧建成,中文書,9,702,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010873248/page/4/idx/53/cat/001/pdf/1/spell/3
一行指令學Python：用機器學習掌握人工智慧(附範例光碟),徐聖訓,中文書,95,475,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010872905/page/4/idx/54/cat/001/pdf/1/spell/3
進階程式設計：使用Python、C++,任鏡翔,中文書,9,315,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010870724/page/4/idx/55/cat/001/pdf/1/spell/3
Python資料可視化之美：極專業圖表製作高手書(全彩印刷),張傑,中文書,9,702,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010870147/page/4/idx/56/cat/001/pdf/1/spell/3
Python × Network一拍即合：自動化、程式化和DevOps的一站式解決方案,Eric Chou（周君逸）  周君逸,中文書,9,702,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010864929/page/4/idx/57/cat/001/pdf/1/spell/3
軟硬通吃學Python程式設計與Halocode光環板創客應用,何敏煌,中文書,9,432,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010866560/page/4/idx/58/cat/001/pdf/1/spell/3
運算思維修習學堂：使用Python的10堂入門程式課,吳燦銘,中文書,9,342,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010859132/page/4/idx/59/cat/001/pdf/1/spell/3
最新Python程式設計實例入門,高橋麻奈  博碩文化,中文書,9,504,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010844772/page/4/idx/60/cat/001/pdf/1/spell/3
學Python程式設計：使用Halocode光環板輕鬆創作AI和IoT應用(精裝版)(內含光環板、USB數據線、折價券),紅動創新  連宏城,中文書,9,1071,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010850089/page/5/idx/1/cat/001/pdf/1/spell/3
學Python程式設計：使用Halocode光環板 輕鬆創作AI和IoT應用,連宏城,中文書,9,360,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010842993/page/5/idx/2/cat/001/pdf/1/spell/3
實用Python程式設計(第二版),謝哲光  郭英勝  鄭志宏  龔志銘,中文書,9,378,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010803374/page/5/idx/3/cat/001/pdf/1/spell/3
網站擷取：使用Python(二版),Ryan Mitchell  楊尊一,中文書,9,522,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010800965/page/5/idx/4/cat/001/pdf/1/spell/3
優雅的SciPy：Python科學研究的美學,Harriet Dashnow  Juan Nunez-Iglesias  Stéfan van der Walt  張靜雯,中文書,9,522,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010788444/page/5/idx/5/cat/001/pdf/1/spell/3
THE PRACTICE OF COMPUTING USING PYTHON 3/E (GE),ENBODY  PUNCH,中文書,,2400,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010770383/page/5/idx/6/cat/001/pdf/1/spell/3
入門首選 Python程式設計附範例檔 - 最新版,勁樺科技,中文書,9,252,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010764782/page/5/idx/7/cat/001/pdf/1/spell/3
PYTHON程式設計入門與運算思維,曹祥雲,中文書,95,494,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010763704/page/5/idx/8/cat/001/pdf/1/spell/3
菲絲恩教你學會Python(第二版),健康資訊工程實驗室,中文書,9,288,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010712221/page/5/idx/9/cat/001/pdf/1/spell/3
Python ✕ Power BI ✕ Excel 和 AI 神隊友打造辦公室作業 + 數據分析自動化,陳會安,中文書,79,592,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011001463/page/5/idx/10/cat/001/pdf/1/spell/3
AI時代Math元年：用Python全精通機器學習,姜偉生,中文書,79,853,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011016130/page/5/idx/11/cat/001/pdf/1/spell/3
AI時代Math元年：用Python全精通數學要素(二版),姜偉生,中文書,9,882,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011016378/page/5/idx/12/cat/001/pdf/1/spell/3
AI獨家解密：DALL·E、Midjourney、Stable Diffusion Python打開圖片生成原理潘朵拉盒子,南柯,中文書,79,774,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011018273/page/5/idx/13/cat/001/pdf/1/spell/3
Microsoft Azure AI Services與Azure OpenAI從入門到人工智慧程式開發-使用Python(含MCF AI-900國際認證),何嘉益  張力元  張志成  蔡文龍,中文書,79,442,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011019464/page/5/idx/14/cat/001/pdf/1/spell/3
OpenAI API基礎必修課：使用Python(GPT-3.5、GPT-4、GPT-4o、DALL·E、TTS、Whisper模型),何嘉益  張力元  張志成  蔡文龍,中文書,9,468,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010990654/page/5/idx/15/cat/001/pdf/1/spell/3
輕量又漂亮的Python Web框架：Streamlit AI時代非學不可,王鑫,中文書,9,621,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010999824/page/5/idx/16/cat/001/pdf/1/spell/3
未來工廠超進化!工業4.0的物聯網智慧工廠應用與實作：使用Arduino.Node-RED.Python.Grafana,王進德,中文書,75,517,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010989851/page/5/idx/17/cat/001/pdf/1/spell/3
AI時代Math元年：用Python全精通統計及機率,姜偉生,中文書,9,1080,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010988828/page/5/idx/18/cat/001/pdf/1/spell/3
